Game 1: Player1=2, Player2=2, Winner=0
Game 67: Player1=6, Player2=3, Winner=1
Game 68: Player1=3, Player2=4, Winner=2
Game 69: Player1=4, Player2=3, Winner=1
Game 70: Player1=1, Player2=1, Winner=0
Game 71: Player1=2, Player2=6, Winner=2
Game 72: Player1=3, Player2=1, Winner=1
Game 73: Player1=4, Player2=1, Winner=1
Game 74: Player1=4, Player2=4, Winner=0
Game 75: Player1=5, Player2=2, Winner=1
Game 76: Player1=5, Player2=4, Winner=1
Game 77: Player1=4, Player2=4, Winner=0
Game 78: Player1=1, Player2=3, Winner=2
Game 79: Player1=3, Player2=5, Winner=2
Game 80: Player1=4, Player2=2, Winner=1
Game 81: Player1=6, Player2=3, Winner=1
Game 82: Player1=5, Player2=3, Winner=1
Game 83: Player1=2, Player2=4, Winner=2
Game 84: Player1=6, Player2=6, Winner=0
Game 85: Player1=5, Player2=4, Winner=1
Game 86: Player1=4, Player2=1, Winner=1
Game 87: Player1=1, Player2=5, Winner=2
Game 88: Player1=1, Player2=6, Winner=2
Game 89: Player1=1, Player2=4, Winner=2
Game 90: Player1=1, Player2=2, Winner=2
Game 91: Player1=5, Player2=4, Winner=1
Game 92: Player1=2, Player2=4, Winner=2
Game 93: Player1=4, Player2=3, Winner=1
Game 94: Player1=5, Player2=3, Winner=1
Game 95: Player1=4, Player2=4, Winner=0
Game 96: Player1=2, Player2=1, Winner=1
Game 97: Player1=1, Player2=4, Winner=2
Game 98: Player1=4, Player2=5, Winner=2
Game 99: Player1=6, Player2=5, Winner=1
Game 100: Player1=1, Player2=3, Winner=2
Game 101: Player1=3, Player2=4, Winner=2
Game 102: Player1=4, Player2=3, Winner=1
Game 103: Player1=4, Player2=4, Winner=0
Game 104: Player1=3, Player2=6, Winner=2
Game 105: Player1=5, Player2=4, Winner=1
Game 106: Player1=4, Player2=2, Winner=1
Game 107: Player1=4, Player2=2, Winner=1
Game 108: Player1=4, Player2=2, Winner=1
Game 109: Player1=3, Player2=1, Winner=1
Game 110: Player1=3, Player2=3, Winner=0
Game 111: Player1=1, Player2=5, Winner=2
Game 112: Player1=2, Player2=4, Winner=2
Game 113: Player1=5, Player2=3, Winner=1
Game 114: Player1=5, Player2=5, Winner=0
Game 115: Player1=6, Player2=6, Winner=0
Game 116: Player1=2, Player2=4, Winner=2
Game 117: Player1=3, Player2=2, Winner=1
Game 118: Player1=6, Player2=2, Winner=1
Game 119: Player1=2, Player2=6, Winner=2
Game 120: Player1=6, Player2=5, Winner=1
Game 121: Player1=1, Player2=5, Winner=2
Game 122: Player1=3, Player2=1, Winner=1
Game 123: Player1=4, Player2=5, Winner=2
Game 124: Player1=2, Player2=2, Winner=0
Game 125: Player1=4, Player2=6, Winner=2
Game 126: Player1=1, Player2=5, Winner=2
Game 127: Player1=3, Player2=1, Winner=1
Game 128: Player1=6, Player2=6, Winner=0
Game 129: Player1=2, Player2=2, Winner=0
Game 130: Player1=5, Player2=5, Winner=0
Game 131: Player1=6, Player2=3, Winner=1
Game 132: Player1=1, Player2=6, Winner=2
Game 133: Player1=5, Player2=3, Winner=1
Game 134: Player1=2, Player2=2, Winner=0
Game 135: Player1=4, Player2=4, Winner=0
Game 136: Player1=1, Player2=5, Winner=2
Game 137: Player1=2, Player2=6, Winner=2
Game 138: Player1=4, Player2=3, Winner=1
Game 139: Player1=3, Player2=3, Winner=0
Game 140: Player1=2, Player2=6, Winner=2
Game 141: Player1=6, Player2=5, Winner=1
Game 142: Player1=2, Player2=2, Winner=0
Game 143: Player1=3, Player2=2, Winner=1
Game 144: Player1=5, Player2=2, Winner=1
Game 145: Player1=1, Player2=4, Winner=2
Game 146: Player1=5, Player2=6, Winner=2
Game 147: Player1=2, Player2=3, Winner=2
Game 148: Player1=1, Player2=6, Winner=2
Game 149: Player1=3, Player2=1, Winner=1
Game 150: Player1=3, Player2=1, Winner=1
Game 151: Player1=2, Player2=1, Winner=1
Game 152: Player1=2, Player2=1, Winner=1
Game 153: Player1=3, Player2=6, Winner=2
Game 154: Player1=4, Player2=5, Winner=2
Game 155: Player1=4, Player2=1, Winner=1
Game 156: Player1=4, Player2=2, Winner=1
Game 157: Player1=3, Player2=6, Winner=2
Game 158: Player1=5, Player2=1, Winner=1
Game 159: Player1=5, Player2=5, Winner=0
Game 160: Player1=2, Player2=6, Winner=2
Game 161: Player1=4, Player2=1, Winner=1
Game 162: Player1=2, Player2=3, Winner=2
Game 163: Player1=2, Player2=5, Winner=2
Game 164: Player1=3, Player2=1, Winner=1
Game 165: Player1=3, Player2=6, Winner=2
Game 166: Player1=5, Player2=4, Winner=1
Game 167: Player1=2, Player2=4, Winner=2
Game 168: Player1=4, Player2=4, Winner=0
Game 169: Player1=2, Player2=6, Winner=2
Game 170: Player1=2, Player2=1, Winner=1
Game 171: Player1=1, Player2=5, Winner=2
Game 172: Player1=2, Player2=3, Winner=2
Game 173: Player1=1, Player2=5, Winner=2
Game 174: Player1=5, Player2=4, Winner=1
Game 175: Player1=6, Player2=2, Winner=1
Game 176: Player1=5, Player2=5, Winner=0
Game 177: Player1=4, Player2=6, Winner=2
Game 178: Player1=6, Player2=1, Winner=1
Game 179: Player1=2, Player2=3, Winner=2
Game 180: Player1=3, Player2=1, Winner=1
Game 181: Player1=1, Player2=5, Winner=2
Game 182: Player1=2, Player2=2, Winner=0
Game 183: Player1=2, Player2=6, Winner=2
Game 184: Player1=5, Player2=3, Winner=1
Game 185: Player1=2, Player2=6, Winner=2
Game 186: Player1=2, Player2=5, Winner=2
Game 187: Player1=4, Player2=2, Winner=1
Game 188: Player1=1, Player2=1, Winner=0
Game 189: Player1=3, Player2=6, Winner=2
Game 190: Player1=2, Player2=2, Winner=0
Game 191: Player1=1, Player2=1, Winner=0
Game 192: Player1=2, Player2=1, Winner=1
Game 193: Player1=6, Player2=5, Winner=1
Game 194: Player1=5, Player2=5, Winner=0
Game 195: Player1=6, Player2=1, Winner=1
Game 196: Player1=3, Player2=6, Winner=2
Game 197: Player1=1, Player2=2, Winner=2
Game 198: Player1=4, Player2=3, Winner=1
Game 199: Player1=2, Player2=5, Winner=2
Game 200: Player1=5, Player2=6, Winner=2
Game 201: Player1=2, Player2=3, Winner=2
Game 202: Player1=2, Player2=6, Winner=2
Game 203: Player1=2, Player2=2, Winner=0
Game 204: Player1=3, Player2=1, Winner=1
Game 205: Player1=5, Player2=1, Winner=1
Game 206: Player1=1, Player2=4, Winner=2
Game 207: Player1=5, Player2=5, Winner=0
Game 208: Player1=2, Player2=4, Winner=2
Game 209: Player1=5, Player2=3, Winner=1
Game 210: Player1=4, Player2=2, Winner=1
Game 211: Player1=5, Player2=6, Winner=2
Game 212: Player1=4, Player2=4, Winner=0
Game 213: Player1=2, Player2=3, Winner=2
Game 214: Player1=2, Player2=5, Winner=2
Game 215: Player1=6, Player2=2, Winner=1
Game 216: Player1=3, Player2=4, Winner=2
Game 217: Player1=1, Player2=4, Winner=2
Game 218: Player1=5, Player2=4, Winner=1
Game 219: Player1=4, Player2=4, Winner=0
Game 220: Player1=4, Player2=6, Winner=2
Game 221: Player1=3, Player2=3, Winner=0
Game 222: Player1=3, Player2=6, Winner=2
Game 223: Player1=1, Player2=5, Winner=2
Game 224: Player1=2, Player2=3, Winner=2
Game 225: Player1=1, Player2=1, Winner=0
Game 226: Player1=5, Player2=4, Winner=1
Game 227: Player1=6, Player2=3, Winner=1
Game 228: Player1=5, Player2=4, Winner=1
Game 229: Player1=4, Player2=3, Winner=1
Game 230: Player1=4, Player2=3, Winner=1
Game 231: Player1=3, Player2=3, Winner=0
Game 232: Player1=3, Player2=3, Winner=0
Game 233: Player1=2, Player2=3, Winner=2
Game 234: Player1=2, Player2=4, Winner=2
Game 235: Player1=4, Player2=3, Winner=1
Game 236: Player1=3, Player2=4, Winner=2
Game 237: Player1=1, Player2=5, Winner=2
Game 238: Player1=2, Player2=1, Winner=1
Game 239: Player1=1, Player2=6, Winner=2
Game 240: Player1=4, Player2=1, Winner=1
Game 241: Player1=5, Player2=5, Winner=0
Game 242: Player1=6, Player2=2, Winner=1
Game 243: Player1=5, Player2=3, Winner=1
Game 244: Player1=3, Player2=3, Winner=0
Game 245: Player1=3, Player2=5, Winner=2
Game 246: Player1=2, Player2=1, Winner=1
Game 247: Player1=3, Player2=4, Winner=2
Game 248: Player1=6, Player2=2, Winner=1
Game 249: Player1=3, Player2=6, Winner=2
Game 250: Player1=2, Player2=2, Winner=0
Game 251: Player1=4, Player2=5, Winner=2
Game 252: Player1=3, Player2=6, Winner=2
Game 253: Player1=5, Player2=4, Winner=1
Game 254: Player1=4, Player2=5, Winner=2
Game 255: Player1=4, Player2=2, Winner=1
Game 256: Player1=3, Player2=3, Winner=0
Game 257: Player1=4, Player2=5, Winner=2
Game 258: Player1=5, Player2=5, Winner=0
Game 259: Player1=6, Player2=6, Winner=0
Game 260: Player1=4, Player2=2, Winner=1
Game 261: Player1=4, Player2=4, Winner=0
Game 262: Player1=6, Player2=3, Winner=1
Game 263: Player1=5, Player2=3, Winner=1
Game 264: Player1=5, Player2=4, Winner=1
Game 265: Player1=6, Player2=4, Winner=1
Game 266: Player1=3, Player2=1, Winner=1
Game 267: Player1=5, Player2=2, Winner=1
Game 268: Player1=3, Player2=2, Winner=1
Game 269: Player1=4, Player2=4, Winner=0
Game 270: Player1=2, Player2=4, Winner=2
Game 271: Player1=6, Player2=2, Winner=1
Game 272: Player1=5, Player2=3, Winner=1
Game 273: Player1=6, Player2=1, Winner=1
Game 274: Player1=6, Player2=6, Winner=0
Game 275: Player1=5, Player2=5, Winner=0
Game 276: Player1=3, Player2=3, Winner=0
Game 277: Player1=4, Player2=5, Winner=2
Game 278: Player1=2, Player2=1, Winner=1
Game 279: Player1=3, Player2=6, Winner=2
Game 280: Player1=4, Player2=6, Winner=2
Game 281: Player1=4, Player2=2, Winner=1
Game 282: Player1=1, Player2=5, Winner=2
Game 283: Player1=3, Player2=6, Winner=2
Game 284: Player1=1, Player2=6, Winner=2
Game 285: Player1=6, Player2=2, Winner=1
Game 286: Player1=3, Player2=2, Winner=1
Game 287: Player1=1, Player2=5, Winner=2
Game 288: Player1=1, Player2=3, Winner=2
Game 289: Player1=4, Player2=2, Winner=1
Game 290: Player1=1, Player2=4, Winner=2
Game 291: Player1=6, Player2=3, Winner=1
Game 292: Player1=6, Player2=2, Winner=1
Game 293: Player1=5, Player2=2, Winner=1
Game 294: Player1=6, Player2=4, Winner=1
Game 295: Player1=3, Player2=3, Winner=0
Game 296: Player1=1, Player2=1, Winner=0
Game 297: Player1=4, Player2=1, Winner=1
Game 298: Player1=3, Player2=1, Winner=1
Game 299: Player1=5, Player2=4, Winner=1
Game 300: Player1=2, Player2=3, Winner=2
Game 301: Player1=2, Player2=6, Winner=2
Game 302: Player1=4, Player2=2, Winner=1
Game 303: Player1=6, Player2=6, Winner=0
Game 304: Player1=2, Player2=4, Winner=2
Game 305: Player1=1, Player2=2, Winner=2
Game 306: Player1=5, Player2=4, Winner=1
Game 307: Player1=1, Player2=3, Winner=2
Game 308: Player1=4, Player2=2, Winner=1
Game 309: Player1=3, Player2=1, Winner=1
Game 310: Player1=2, Player2=1, Winner=1
Game 311: Player1=6, Player2=4, Winner=1
Game 312: Player1=1, Player2=6, Winner=2
Game 313: Player1=6, Player2=3, Winner=1
Game 314: Player1=2, Player2=4, Winner=2
Game 315: Player1=3, Player2=6, Winner=2
Game 316: Player1=4, Player2=5, Winner=2
Game 317: Player1=1, Player2=6, Winner=2
Game 318: Player1=6, Player2=5, Winner=1
Game 319: Player1=1, Player2=1, Winner=0
Game 320: Player1=4, Player2=6, Winner=2
Game 321: Player1=6, Player2=2, Winner=1
Game 322: Player1=5, Player2=4, Winner=1
Game 323: Player1=2, Player2=4, Winner=2
Game 324: Player1=4, Player2=1, Winner=1
Game 325: Player1=4, Player2=1, Winner=1
Game 326: Player1=5, Player2=5, Winner=0
Game 327: Player1=6, Player2=4, Winner=1
Game 328: Player1=6, Player2=6, Winner=0
Game 329: Player1=1, Player2=3, Winner=2
Game 330: Player1=4, Player2=2, Winner=1
Game 331: Player1=4, Player2=3, Winner=1
Game 332: Player1=5, Player2=6, Winner=2
Game 333: Player1=6, Player2=3, Winner=1
Game 334: Player1=3, Player2=5, Winner=2
Game 335: Player1=6, Player2=2, Winner=1
Game 336: Player1=1, Player2=6, Winner=2
Game 337: Player1=3, Player2=1, Winner=1
Game 338: Player1=4, Player2=2, Winner=1
Game 339: Player1=4, Player2=5, Winner=2
Game 340: Player1=3, Player2=3, Winner=0
Game 341: Player1=6, Player2=1, Winner=1
Game 342: Player1=6, Player2=5, Winner=1
Game 343: Player1=6, Player2=6, Winner=0
Game 344: Player1=2, Player2=5, Winner=2
Game 345: Player1=1, Player2=4, Winner=2
Game 346: Player1=2, Player2=2, Winner=0
Game 347: Player1=5, Player2=1, Winner=1
Game 348: Player1=1, Player2=2, Winner=2
Game 349: Player1=5, Player2=5, Winner=0
Game 350: Player1=5, Player2=3, Winner=1
Game 351: Player1=4, Player2=3, Winner=1
Game 352: Player1=6, Player2=6, Winner=0
Game 353: Player1=6, Player2=4, Winner=1
Game 354: Player1=2, Player2=2, Winner=0
Game 355: Player1=2, Player2=1, Winner=1
Game 356: Player1=4, Player2=4, Winner=0
Game 357: Player1=2, Player2=6, Winner=2
Game 358: Player1=5, Player2=5, Winner=0
Game 359: Player1=5, Player2=5, Winner=0
Game 360: Player1=6, Player2=2, Winner=1
Game 361: Player1=5, Player2=5, Winner=0
Game 362: Player1=1, Player2=2, Winner=2
Game 363: Player1=4, Player2=1, Winner=1
Game 364: Player1=4, Player2=3, Winner=1
Game 365: Player1=6, Player2=4, Winner=1
Game 366: Player1=3, Player2=1, Winner=1
Game 367: Player1=6, Player2=5, Winner=1
Game 368: Player1=3, Player2=5, Winner=2
Game 369: Player1=4, Player2=6, Winner=2
Game 370: Player1=4, Player2=3, Winner=1
Game 371: Player1=1, Player2=4, Winner=2
Game 372: Player1=2, Player2=5, Winner=2
Game 373: Player1=3, Player2=4, Winner=2
Game 374: Player1=1, Player2=4, Winner=2
Game 375: Player1=6, Player2=6, Winner=0
Game 376: Player1=3, Player2=2, Winner=1
Game 377: Player1=5, Player2=1, Winner=1
Game 378: Player1=3, Player2=3, Winner=0
Game 379: Player1=5, Player2=2, Winner=1
Game 380: Player1=5, Player2=5, Winner=0
Game 381: Player1=5, Player2=2, Winner=1
Game 382: Player1=2, Player2=6, Winner=2
Game 383: Player1=1, Player2=6, Winner=2
Game 384: Player1=3, Player2=3, Winner=0
Game 385: Player1=2, Player2=3, Winner=2
Game 386: Player1=5, Player2=5, Winner=0
Game 387: Player1=4, Player2=2, Winner=1
Game 388: Player1=3, Player2=3, Winner=0
Game 389: Player1=1, Player2=5, Winner=2
Game 390: Player1=1, Player2=4, Winner=2
Game 391: Player1=3, Player2=2, Winner=1
Game 392: Player1=6, Player2=1, Winner=1
Game 393: Player1=5, Player2=2, Winner=1
Game 394: Player1=1, Player2=6, Winner=2
Game 395: Player1=4, Player2=3, Winner=1
Game 396: Player1=6, Player2=3, Winner=1
Game 397: Player1=1, Player2=1, Winner=0
Game 398: Player1=2, Player2=5, Winner=2
Game 399: Player1=2, Player2=3, Winner=2
Game 400: Player1=2, Player2=2, Winner=0
Game 401: Player1=1, Player2=1, Winner=0
Game 402: Player1=4, Player2=1, Winner=1
Game 403: Player1=6, Player2=6, Winner=0
Game 404: Player1=3, Player2=4, Winner=2
Game 405: Player1=1, Player2=6, Winner=2
Game 406: Player1=2, Player2=5, Winner=2
Game 407: Player1=4, Player2=6, Winner=2
Game 408: Player1=5, Player2=2, Winner=1
Game 409: Player1=5, Player2=6, Winner=2
Game 410: Player1=1, Player2=3, Winner=2
Game 411: Player1=5, Player2=2, Winner=1
Game 412: Player1=1, Player2=6, Winner=2
Game 413: Player1=2, Player2=5, Winner=2
Game 414: Player1=6, Player2=6, Winner=0
Game 415: Player1=3, Player2=5, Winner=2
Game 416: Player1=3, Player2=1, Winner=1
Game 417: Player1=1, Player2=6, Winner=2
Game 418: Player1=1, Player2=2, Winner=2
Game 419: Player1=1, Player2=5, Winner=2
Game 420: Player1=2, Player2=2, Winner=0
Game 421: Player1=2, Player2=4, Winner=2
Game 422: Player1=5, Player2=6, Winner=2
Game 423: Player1=4, Player2=5, Winner=2
Game 424: Player1=5, Player2=2, Winner=1
Game 425: Player1=3, Player2=4, Winner=2
Game 426: Player1=5, Player2=1, Winner=1
Game 427: Player1=3, Player2=1, Winner=1
Game 428: Player1=4, Player2=2, Winner=1
Game 429: Player1=5, Player2=2, Winner=1
Game 430: Player1=6, Player2=6, Winner=0
Game 431: Player1=5, Player2=2, Winner=1
Game 432: Player1=4, Player2=3, Winner=1
Game 433: Player1=2, Player2=3, Winner=2
Game 434: Player1=1, Player2=4, Winner=2
Game 435: Player1=5, Player2=4, Winner=1
Game 436: Player1=4, Player2=4, Winner=0
Game 437: Player1=1, Player2=2, Winner=2
Game 438: Player1=4, Player2=1, Winner=1
Game 439: Player1=6, Player2=2, Winner=1
Game 440: Player1=1, Player2=5, Winner=2
Game 441: Player1=6, Player2=4, Winner=1
Game 442: Player1=6, Player2=1, Winner=1
Game 443: Player1=2, Player2=5, Winner=2
Game 444: Player1=2, Player2=5, Winner=2
Game 445: Player1=1, Player2=3, Winner=2
Game 446: Player1=5, Player2=3, Winner=1
Game 447: Player1=2, Player2=6, Winner=2
Game 448: Player1=4, Player2=6, Winner=2
Game 449: Player1=4, Player2=5, Winner=2
Game 450: Player1=5, Player2=3, Winner=1
Game 451: Player1=4, Player2=5, Winner=2
Game 452: Player1=3, Player2=4, Winner=2
Game 453: Player1=3, Player2=6, Winner=2
Game 454: Player1=3, Player2=5, Winner=2
Game 455: Player1=1, Player2=1, Winner=0
Game 456: Player1=5, Player2=5, Winner=0
Game 457: Player1=6, Player2=1, Winner=1
Game 458: Player1=2, Player2=5, Winner=2
Game 459: Player1=5, Player2=5, Winner=0
Game 460: Player1=2, Player2=5, Winner=2
Game 461: Player1=3, Player2=3, Winner=0
Game 462: Player1=4, Player2=6, Winner=2
Game 463: Player1=1, Player2=3, Winner=2
Game 464: Player1=2, Player2=3, Winner=2
Game 465: Player1=2, Player2=5, Winner=2
Game 466: Player1=5, Player2=3, Winner=1
Game 467: Player1=2, Player2=1, Winner=1
Game 468: Player1=5, Player2=1, Winner=1
Game 469: Player1=1, Player2=2, Winner=2
Game 470: Player1=6, Player2=3, Winner=1
Game 471: Player1=2, Player2=1, Winner=1
Game 472: Player1=2, Player2=1, Winner=1
Game 473: Player1=5, Player2=3, Winner=1
Game 474: Player1=2, Player2=3, Winner=2
Game 475: Player1=3, Player2=6, Winner=2
Game 476: Player1=2, Player2=2, Winner=0
Game 477: Player1=6, Player2=4, Winner=1
Game 478: Player1=4, Player2=1, Winner=1
Game 479: Player1=2, Player2=3, Winner=2
Game 480: Player1=5, Player2=2, Winner=1
Game 481: Player1=3, Player2=6, Winner=2
Game 482: Player1=3, Player2=3, Winner=0
Game 483: Player1=5, Player2=1, Winner=1
Game 484: Player1=4, Player2=4, Winner=0
Game 485: Player1=6, Player2=5, Winner=1
Game 486: Player1=1, Player2=5, Winner=2
Game 487: Player1=3, Player2=6, Winner=2
Game 488: Player1=1, Player2=5, Winner=2
Game 489: Player1=5, Player2=3, Winner=1
Game 490: Player1=3, Player2=5, Winner=2
Game 491: Player1=3, Player2=4, Winner=2
Game 492: Player1=4, Player2=5, Winner=2
Game 493: Player1=3, Player2=6, Winner=2
Game 494: Player1=6, Player2=1, Winner=1
Game 495: Player1=1, Player2=3, Winner=2
Game 496: Player1=3, Player2=5, Winner=2
Game 497: Player1=6, Player2=5, Winner=1
Game 498: Player1=5, Player2=6, Winner=2
Game 499: Player1=6, Player2=1, Winner=1
Game 500: Player1=5, Player2=1, Winner=1
Game 501: Player1=6, Player2=2, Winner=1
Game 502: Player1=3, Player2=2, Winner=1
Game 503: Player1=4, Player2=3, Winner=1
Game 504: Player1=5, Player2=4, Winner=1
Game 505: Player1=3, Player2=3, Winner=0
Game 506: Player1=5, Player2=1, Winner=1
Game 507: Player1=3, Player2=2, Winner=1
Game 508: Player1=2, Player2=6, Winner=2
Game 509: Player1=1, Player2=1, Winner=0
Game 510: Player1=1, Player2=1, Winner=0
Game 511: Player1=4, Player2=6, Winner=2
Game 512: Player1=3, Player2=4, Winner=2
Game 513: Player1=5, Player2=1, Winner=1
Game 514: Player1=6, Player2=1, Winner=1
Game 515: Player1=5, Player2=3, Winner=1
Game 516: Player1=3, Player2=3, Winner=0
Game 517: Player1=4, Player2=1, Winner=1
Game 518: Player1=6, Player2=1, Winner=1
Game 519: Player1=4, Player2=6, Winner=2
Game 520: Player1=3, Player2=1, Winner=1
Game 521: Player1=1, Player2=5, Winner=2
Game 522: Player1=5, Player2=1, Winner=1
Game 523: Player1=1, Player2=1, Winner=0
Game 524: Player1=1, Player2=4, Winner=2
Game 525: Player1=6, Player2=2, Winner=1
Game 526: Player1=1, Player2=6, Winner=2
Game 527: Player1=4, Player2=5, Winner=2
Game 528: Player1=2, Player2=1, Winner=1
Game 529: Player1=3, Player2=1, Winner=1
Game 530: Player1=3, Player2=2, Winner=1
Game 531: Player1=6, Player2=6, Winner=0
Game 532: Player1=1, Player2=6, Winner=2
Game 533: Player1=4, Player2=5, Winner=2
Game 534: Player1=3, Player2=3, Winner=0
Game 535: Player1=3, Player2=2, Winner=1
Game 536: Player1=2, Player2=6, Winner=2
Game 537: Player1=6, Player2=5, Winner=1
Game 538: Player1=6, Player2=3, Winner=1
Game 539: Player1=2, Player2=2, Winner=0
Game 540: Player1=6, Player2=1, Winner=1
Game 541: Player1=5, Player2=1, Winner=1
Game 542: Player1=4, Player2=2, Winner=1
Game 543: Player1=6, Player2=1, Winner=1
Game 544: Player1=6, Player2=4, Winner=1
Game 545: Player1=2, Player2=2, Winner=0
Game 546: Player1=5, Player2=3, Winner=1
Game 547: Player1=3, Player2=5, Winner=2
Game 548: Player1=4, Player2=3, Winner=1
Game 549: Player1=1, Player2=3, Winner=2
Game 550: Player1=5, Player2=3, Winner=1
Game 551: Player1=2, Player2=5, Winner=2
Game 552: Player1=4, Player2=5, Winner=2
Game 553: Player1=2, Player2=2, Winner=0
Game 554: Player1=6, Player2=4, Winner=1
Game 555: Player1=4, Player2=4, Winner=0
Game 556: Player1=5, Player2=6, Winner=2
Game 557: Player1=2, Player2=5, Winner=2
Game 558: Player1=4, Player2=6, Winner=2
Game 559: Player1=1, Player2=2, Winner=2
Game 560: Player1=5, Player2=2, Winner=1
Game 561: Player1=2, Player2=3, Winner=2
Game 562: Player1=3, Player2=2, Winner=1
Game 563: Player1=6, Player2=5, Winner=1
Game 564: Player1=6, Player2=2, Winner=1
Game 565: Player1=6, Player2=3, Winner=1
Game 566: Player1=6, Player2=2, Winner=1
Game 567: Player1=2, Player2=5, Winner=2
Game 568: Player1=5, Player2=1, Winner=1
Game 569: Player1=2, Player2=4, Winner=2
Game 570: Player1=3, Player2=4, Winner=2
Game 571: Player1=1, Player2=5, Winner=2
Game 572: Player1=4, Player2=2, Winner=1
Game 573: Player1=3, Player2=6, Winner=2
Game 574: Player1=4, Player2=6, Winner=2
Game 575: Player1=4, Player2=5, Winner=2
Game 576: Player1=5, Player2=3, Winner=1
Game 577: Player1=2, Player2=4, Winner=2
Game 578: Player1=5, Player2=4, Winner=1
Game 579: Player1=1, Player2=2, Winner=2
Game 580: Player1=5, Player2=2, Winner=1
Game 581: Player1=5, Player2=3, Winner=1
Game 582: Player1=6, Player2=3, Winner=1
Game 583: Player1=6, Player2=3, Winner=1
Game 584: Player1=4, Player2=1, Winner=1
Game 585: Player1=1, Player2=5, Winner=2
Game 586: Player1=5, Player2=4, Winner=1
Game 587: Player1=3, Player2=6, Winner=2
Game 588: Player1=6, Player2=5, Winner=1
Game 589: Player1=1, Player2=5, Winner=2
Game 590: Player1=4, Player2=3, Winner=1
Game 591: Player1=2, Player2=5, Winner=2
Game 592: Player1=5, Player2=3, Winner=1
Game 593: Player1=3, Player2=4, Winner=2
Game 594: Player1=1, Player2=2, Winner=2
Game 595: Player1=3, Player2=1, Winner=1
Game 596: Player1=5, Player2=2, Winner=1
Game 597: Player1=3, Player2=5, Winner=2
Game 598: Player1=6, Player2=4, Winner=1
Game 599: Player1=4, Player2=3, Winner=1
Game 600: Player1=5, Player2=3, Winner=1
Game 601: Player1=5, Player2=6, Winner=2
Game 602: Player1=4, Player2=1, Winner=1
Game 603: Player1=4, Player2=6, Winner=2
Game 604: Player1=2, Player2=6, Winner=2
Game 605: Player1=3, Player2=2, Winner=1
Game 606: Player1=1, Player2=2, Winner=2
Game 607: Player1=4, Player2=5, Winner=2
